food_name,protein,province,carbohydrate
게국지,4,1,3
곰치국,5,1,2
꼬리곰탕,15,5,1
낙지탕,5,1,2
매생이국,2,1,3
묵말이,1,1,7
미소된장국,2,1,2
선짓국,6,1,1
소탕,5,4,1
아구탕,6,1,2
어묵탕,3,1,11
어탕,8,2,1
연포탕,9,1,2
오이냉국,1,0,4
올갱이국,2,1,2
전복탕,4,0,3
지리탕,7,1,2
초당순두부,5,3,2
홍합탕,4,1,2
황태해장국,4,1,1
고등어찌개,8,6,4
곱창전골,5,5,6
꽁치찌개,8,8,4
나베,5,10,16
두부전골,4,2,3
마라탕,4,4,5
만두전골,3,2,8
밀푀유나베,4,2,4
버섯찌개,4,1,4
불고기전골,6,3,9
불낙전골,6,2,4
해물탕,5,1,2
해신탕,8,2,2
훠궈,5,5,7
김치찜,7,4,4
꼬막무침,8,5,8
대구찜,10,2,5
동태찜,10,2,5
동파육,9,15,4
돼지고기,22,12,0
돼지등갈비찜,16,11,13
북어찜,19,4,12
붕어찜,5,3,7
수란,12,12,0
오징어순대,13,2,17
조기찜,20,11,2
해물찜,6,2,7
갈매기살구이,27,23,0
꿩불고기,7,2,8
닭튀김(치킨),18,13,21
대창구이,9,60,4
더덕구이,2,4,27
돼지갈비구이,12,10,6
돼지껍데기구이,24,27,3
돼지불고기,10,6,7
막창구이,15,33,0
연어구이,25,15,0
오겹살구이,20,35,3
임연수구이,22,12,1
차돌박이구이,18,46,1
콘치즈구이,10,13,18
황태구이,22,6,10
훈제오리,17,26,5
고추전,9,11,11
굴전,8,8,12
깻잎전,12,17,10
꼬치구치,16,2,4
녹두빈대떡,9,8,21
동태전,13,8,6
두부전,12,10,5
미나리전,3,5,23
배추전,3,6,24
새우전,10,11,12
생선전,16,9,6
소고기산적,24,13,4
소라산적,22,3,8
오징어산적,22,2,4
해물파전,7,12,17
햄부침,11,17,11
호박전,3,7,10
홍합산적,22,6,13
화양적,9,10,14
감바스,9,22,17
고추잡채,7,4,11
난자완스,11,10,10
느타리버섯볶음,2,3,4
닭모래집볶음,18,4,3
두부김치,7,6,5
머위나물볶음,2,5,5
순대볶음,4,6,17
오징어채볶음,18,4,13
주꾸미볶음,8,2,10
주꾸미삼겹살,10,9,11
해물볶음,10,4,8
가자미조림,10,2,6
고추조림,5,3,9
동태조림,13,1,6
북어조림,21,3,17
조기조림,14,6,4
고구마맛탕,1,4,33
고구마튀김,2,11,33
고추튀김,8,13,15
김말이튀김,2,12,33
깐풍기,13,18,19
깐풍새우,8,14,21
닭모래집튀김,19,18,19
돈가스,15,19,17
라조기,10,12,13
멘보샤,11,22,13
미꾸라지튀김,11,25,29
복어튀김,14,19,23
북어강정,19,22,26
생선까스,10,20,15
양파링튀김,4,25,44
쥐포튀김,10,16,42
채소튀김,4,17,38
치즈볼,10,20,29
치즈스틱,13,22,21
치킨가스,14,17,22
깻잎나물볶음,4,7,6
머위나물무침,2,8,2
미나리나물,2,4,4
세발나물무침,3,4,7
우거지나물무침,3,6,6
취나물무침,3,12,7
노각무침,2,1,10
단무지무침,1,2,5
더덕무침,2,1,22
배추겉절이,2,1,6
밴댕이무침,7,8,12
상추겉절이,1,1,4
쑥갓나물무침,3,4,4
탕평채,4,4,12
홍어무침,9,1,13
갓김치,3,0,7
배추김치,2,1,6
백김치,1,0,3
열무김치,2,0,5
열무물김치,1,0,3
열무얼갈이김치,2,1,5
오이소박이,2,0,6
유채김치,4,1,10
유채물김치,1,0,3
총각김치,2,0,8
파김치,2,1,9
게장,12,3,6
명란젓,18,7,4
조개젓,9,2,13
고추장아찌,2,1,31
들깻잎장아찌,4,0,26
마늘장아찌,2,0,25
마늘쫑장아찌,2,1,20
무장아찌,1,1,17
소스/드레싱,6,4,11
카레소스,6,5,8
밀크쉐이크,2,4,17
우유,3,3,5
레몬청차,0,0,15
밀크티,1,4,11
액상커피,0,0,5
팝콘,7,23,64
달걀,18,11,4
대구포,32,0,2
넙치(광어)회덮밥,4,1,13
돌솥비빔밥,3,2,14
우럭회덮밥,3,1,11
참치덮밥,6,2,16
참치회덮밥,5,1,12
콩나물국밥,3,1,11
비빔막국수,3,1,21
쟁반짜장,6,3,24
중식우동,5,1,15
해물칼국수,3,0,15
닭고기육개장,4,1,2
닭백숙,4,2,4
개고기전골,6,5,2
고추장찌개,4,2,6
내장전골,5,3,3
소고기샤브샤브,3,2,4
순대전골,6,3,6
아귀지리,4,0,1
가오리콩나물찜,3,1,4
꽃게콩나물찜,6,1,5
낙지찜,5,4,4
단호박찜,1,0,10
대구볼찜,4,1,5
복찜,4,1,4
소갈비찜,8,7,8
해물콩나물찜,7,1,4
홍어찜,7,1,1
황태콩나물찜,10,2,7
굴비구이,12,7,1
꽁치구이,16,7,2
소내장구이,7,7,1
오리고기로스,12,14,0
옥돔구이,5,2,0
옥수수구이,3,8,15
전어구이,6,1,0
새송이버섯전,3,4,6
어육소시지전,8,10,13
장떡,4,8,27
파래전,5,5,32
가지볶음,1,2,4
